2018-02-02 09:09:17 status half-installed php7.2-json:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-json:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-json:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 upgrade php7.2-readline:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-configured php7.2-readline:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-readline:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-readline:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-readline:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-readline:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 upgrade php7.2-mbstring:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-configured php7.2-mbstring:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-mbstring:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-mbstring:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-mbstring:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-mbstring:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-mbstring:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 upgrade php7.2-curl:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-configured php7.2-curl:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-curl:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed php7.2-curl:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed php7.2-curl:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-curl:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
